Date,Days,TimeA,Morning,TimeB,Afternoon,TimeC,Evening,TimeD,Saturdays
2020-04-01,Wednesday,,,,,,,,
2020-04-02,Thursday,,,,,,,,
2020-04-03,Friday,,,,,,,,
2020-04-04,Saturday,,,,,,,,
2020-04-06,Monday,,,,,,,,
2020-04-07,Tuesday,,,,,,,,
2020-04-08,Wednesday,,,,,,,,
2020-04-09,Thursday,9:00-13:00 EST,A1.5 R,14:00-18:00 EST,A1.5 R,,,,
2020-04-10,Friday,9:00-13:00 EST,A1.6 Data Engineering with R,14:00-18:00 EST,A1.6 Data Engineering with R,,,,
2020-04-11,Saturday,,,,,,,,
2020-04-13,Monday,,,,,,,,
2020-04-14,Tuesday,,,14:00-18:00 EST,A1.8 SQL,,,,
2020-04-15,Wednesday,,,14:00-18:00 EST,A1.8 SQL,,,,
2020-04-16,Thursday,,,,,,,,
2020-04-17,Friday,,,,,,,,
2020-04-18,Saturday,,,,,,,,
2020-04-20,Monday,,,,,,,,
2020-04-21,Tuesday,,,,,,,,
2020-04-22,Wednesday,,,,,,,,
2020-04-23,Thursday,,,,,,,,
2020-04-24,Friday,,,,,,,,
2020-04-25,Saturday,,,,,,,,
2020-04-27,Monday,,,,,,,,
2020-04-28,Tuesday,,,,,,,,
2020-04-29,Wednesday,,,,,,,,
2020-04-30,Thursday,,,,,,,,
2020-05-01,Friday,,,,,,,,
2020-05-02,Saturday,,,,,,,,
2020-05-04,Monday,,,,,,,,
2020-05-05,Tuesday,,,,,,,,
2020-05-06,Wednesday,,,,,,,,
2020-05-07,Thursday,,,,,,,,
2020-05-08,Friday,,,,,,,,
2020-05-09,Saturday,,,,,,,,
2020-05-11,Monday,,,14:00-18:00 EST,A2.1 Big Data archi & Hadoop,,,,
2020-05-12,Tuesday,,,14:00-18:00 EST,A2.1 Big Data archi & Hadoop,,,,
2020-05-13,Wednesday,9:00-13:00 EST,A2.1 Big Data archi & Hadoop,14:00-18:00 EST,A2.1 Big Data archi & Hadoop,,,,
2020-05-14,Thursday,,,14:00-18:00 EST,B1.6 Fraud Detection,,,,
2020-05-15,Friday,,,14:00-18:00 EST,B1.6 Fraud Detection,,,,
2020-05-16,Saturday,,,,,,,,
