,,Holiday,Problem,US Day - April,,,,,US Ev. - May,,,US Day - May,,,,,,US/FR - July,,,,,,US Ev. - July,,
,,,,13,Morning 9m-1pm EST,,Afternoon 2pm-6pm EST,,,"6pm-10pm EST
10am-6pm EST",Evening / Satursday,12,Morning 9m-1pm EST,,Afternoon 2pm-6pm EST,,,10,Morning 9m-1pm EST,,Afternoon 2pm-6pm EST,,,,"6pm-10pm EST
10am-6pm EST",Evening / Satursday
Wed.,  04/01,,FALSE,1,"0.1 Bootcamp presentation
0.2 Introduction to AI",Samy,"0.2 Introduction to AI
0.3 Panorama of AI",Samy,,,,,,,,,  04/01,,,,,,  04/01,,,
Thu.,  04/02,,FALSE,2,"A1.1 The foundations for AI
A1.3 Python",Nathan,A1.3 Python,Fanbo,,,,,,,,,  04/02,,,,,,  04/02,,,
Fri.,  04/03,,FALSE,3,A1.3 Python,Nathan,A1.3 Python,Fanbo,,,,,,,,,  04/03,,,,,,  04/03,,,
Sat.,  04/04,,FALSE,,,,,,,,,,,,,,  04/04,,,,,,  04/04,,,
Mon.,  04/06,,FALSE,4,A1.4.1 Maths for AI - Linear Algebra,Nathan,A1.4.1 Maths for AI - Linear Algebra,Fanbo,,,,,,,,,  04/06,,,,,,  04/06,,,
Tue.,  04/07,,FALSE,5,A1.4.2 Maths for AI - Probabilities,Nathan,A1.4.2 Maths for AI - Probabilities,Fanbo,,,,,,,,,  04/07,,,,,,  04/07,,,
Wed.,  04/08,,FALSE,6,A1.4.3 Maths for AI - Stats & Tests,Dmitry,A1.4.3 Maths for AI - Stats & Tests,Fanbo,,,,,,,,,  04/08,,,,,,  04/08,,,
Thu.,  04/09,,FALSE,7,A1.5 R,Mustafa,A1.5 R,Mustafa,,,,,,,,,  04/09,,,,,,  04/09,,,
Fri.,  04/10,,FALSE,8,A1.6 Data Engineering with R,Mustafa,A1.6 Data Engineering with R,Mustafa,,,,,,,,,  04/10,,,,,,  04/10,,,
Sat.,  04/11,,FALSE,,,,,,,,,,,,,,  04/11,,,,,,  04/11,,,
Mon.,  04/13,x,FALSE,9,"A1.4.4,5 Statistics in Python",Fanbo,"A1.4.4,5 Statistics in Python",Fanbo,,,,,,,,,  04/13,,,,,,  04/13,,,
Tue.,  04/14,,FALSE,10,A1.7 Algorithmic & Complexity,Dmitry,A1.8 SQL,Mustafa,,,,,,,,,  04/14,,,,,,  04/14,,,
Wed.,  04/15,,FALSE,11,A1.7 Algorithmic & Complexity,Dmitry,A1.8 SQL,Mustafa,,,,,,,,,  04/15,,,,,,  04/15,,,
Thu.,  04/16,,FALSE,12,A1.7 Algorithmic & Complexity,Dmitry,A1.2 Git / GitHub,Fanbo,,,,,,,,,  04/16,,,,,,  04/16,,,
Fri.,  04/17,,FALSE,13,A1.7 Algorithmic & Complexity,Dmitry,A1.2 Git / GitHub,Fanbo,,,,,,,,,  04/17,,,,,,  04/17,,,
Sat.,  04/18,,FALSE,,,,,,,,,,,,,,  04/18,,,,,,  04/18,,,
Mon.,  04/20,,FALSE,14,A1.7 Algorithmic & Complexity,Dmitry,A2.3 ML APIs,Fanbo,,,,,,,,,  04/20,,,,,,  04/20,,,
Tue.,  04/21,,FALSE,15,A1.7 Algorithmic & Complexity,Dmitry,A2.3 ML APIs,Fanbo,,,,,,,,,  04/21,,,,,,  04/21,,,
Wed.,  04/22,,FALSE,16,A1.9 SAS,Nathan,B1.1.1-4 ML & Regressions,Fanbo,,,,,,,,,  04/22,,,,,,  04/22,,,
Thu.,  04/23,,FALSE,17,A1.9 SAS,Nathan,B1.1.1-4 ML & Regressions,Fanbo,,,,,,,,,  04/23,,,,,,  04/23,,,
Fri.,  04/24,,FALSE,18,A1.9 SAS,Nathan,B1.1.1-4 ML & Regressions,Fanbo,,,,,,,,,  04/24,,,,,,  04/24,,,
Sat.,  04/25,,FALSE,,,,,,,,,,,,,,  04/25,,,,,,  04/25,,,
Mon.,  04/27,,FALSE,19,A1.9 SAS,Nathan,Personal Project,Dmitry,,,,,,,,,  04/27,,,,,,  04/27,,,
Tue.,  04/28,,FALSE,20,B1.1.7-8 ML decision trees,Dmitry,B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,,,,,,,,,  04/28,,,,,,  04/28,,,
Wed.,  04/29,,FALSE,21,B1.1.7-8 ML decision trees,Dmitry,B1.1.5-6 ML - Supervised - NN & ....,Fanbo,,,,,,,,,  04/29,,,,,,  04/29,,,
Thu.,  04/30,,FALSE,22,B1.1.9-11 ML Unsupervised Learning,Dmitry,B1.1.5-6 ML - Supervised - NN & ....,Fanbo,,,,,,,,,  04/30,,,,,,  04/30,,,
Fri.,  05/01,x,FALSE,23,B1.1.9-11 ML Unsupervised Learning,Dmitry,Personal Project,PP,,,,,,,,,  05/01,,,,,,  05/01,,,
Sat.,  05/02,,FALSE,,,,,,,,,,,,,,  05/02,,,,,,  05/02,,,
Mon.,  05/04,,FALSE,24,B1.3.1-3 Tensorflow Intro,Dmitry,B1.2 ML Workshop,Fanbo,,,,,,,,,  05/04,,,,,,  05/04,,,
Tue.,  05/05,,FALSE,25,B1.3.1-3 Tensorflow Intro,Dmitry,B1.2 ML Workshop,Fanbo,,,,,,,,,  05/05,,,,,,  05/05,,,
Wed.,  05/06,,FALSE,26,B1.3.1-3 Tensorflow Intro,Dmitry,Personal Project,PP,,,,,,,,,  05/06,,,,,,  05/06,,,
Thu.,  05/07,,FALSE,27,B1.4.1-2 Deep Learning - ANN,Dmitry,B1.4.1-2 Deep Learning - ANN,Fanbo,,,,,,,,,  05/07,,,,,,  05/07,,,
Fri.,  05/08,x,FALSE,28,B1.4.3-4 Deep Learning - CNN,Fanbo,B1.4.3-4 Deep Learning - CNN,Fanbo,,,,,,,,,  05/08,,,,,,  05/08,,,
Sat.,  05/09,,FALSE,,,,,,,,,,,,,,  05/09,,,,,,  05/09,,,
Mon.,  05/11,,FALSE,29,B1.4.7-9 Deep Learning - Auto-encoders,Dmitry,A2.1 Big Data archi & Hadoop,Mustafa,,,,1,"0.1 Bootcamp presentation
0.2 Introduction to AI",Samy,"0.2 Introduction to AI
0.3 Panorama of AI",Samy,  05/11,,,,,,  05/11,,,
Tue.,  05/12,,FALSE,30,B1.4.7-9 Deep Learning - Auto-encoders,Dmitry,A2.1 Big Data archi & Hadoop,Mustafa,1,"A1. Bootcamp Presentation
A2. Intro to AI",Fanbo,2,A1.4.1 Maths for AI - Linear Algebra,Nathan,"A1.1 The foundations for AI
A1.3 Python",Sami,  05/12,,,,,,  05/12,,,
Wed.,  05/13,,FALSE,31,A2.1 Big Data archi & Hadoop,Mustafa,A2.1 Big Data archi & Hadoop,Mustafa,2,"A1.1 The foundations for AI
A1.3 Python",Fanbo,3,A1.4.1 Maths for AI - Linear Algebra,Nathan,A1.3 Python,Sami,  05/13,,,,,,  05/13,,,
Thu.,  05/14,,FALSE,32,B1.4.7-9 Deep Learning - Auto-encoders,Dmitry,B1.6 Fraud Detection,Mustafa,3,          A1.3 Python,Fanbo,4,A1.4.2 Maths for AI - Probabilities,Nathan,A1.3 Python,Sami,  05/14,,,,,,  05/14,,,
Fri.,  05/15,,FALSE,33,B1.4.7-9 Deep Learning - Auto-encoders,Dmitry,B1.6 Fraud Detection,Mustafa,,,,5,A1.4.2 Maths for AI - Probabilities,Nathan,A1.3 Python,Sami,  05/15,,,,,,  05/15,,,
Sat.,  05/16,,FALSE,,,,,,4,A1.3 Python,Fanbo,,,,,,  05/16,,,,,,  05/16,,,
Mon.,  05/18,,FALSE,34,B1.4.10-11 Timeseries,Dmitry,B1.4.5-6 Deep Learning - RNN,Mustafa,,,,6,A1.4.3 Maths for AI - Stats & Tests,Nathan,"A1.4.4,5 Statistics in Python",Sami,  05/18,,,,,,  05/18,,,
Tue.,  05/19,,FALSE,35,B1.4.10-11 Timeseries,Dmitry,B1.4.5-6 Deep Learning - RNN,Mustafa,5,A1.4.1 Maths for AI - Linear Algebra,Fanbo,7,A1.4.3 Maths for AI - Stats & Tests,Nathan,"A1.4.4,5 Statistics in Python",Sami,  05/19,,,,,,  05/19,,,
Wed.,  05/20,,FALSE,36,B1.5 Customer Segmentation,Dmitry,Personal Project,PP,6,A1.4.1 Maths for AI - Linear Algebra,Fanbo,8,A1.5 R,Mustafa,A1.5 R,Mustafa,  05/20,,,,,,  05/20,,,
Thu.,  05/21,x,FALSE,37,B1.5 Customer Segmentation,Dmitry,Personal Project,PP,7,A1.4.2 Maths for AI - Probabilities,Fanbo,9,A1.6 Data Engineering with R,Mustafa,A1.6 Data Engineering with R,Mustafa,  05/21,,,,,,  05/21,,,
Fri.,  05/22,,FALSE,X,Memorial Day,,Memorial Day,,,,,X,Memorial Day,,,,  05/22,,,,,,  05/22,,,
Sat.,  05/23,,FALSE,,,,,,8,A1.8 SQL,Mustafa,,,,,,  05/23,,,,,,  05/23,,,
Mon.,  05/25,,FALSE,38,B1.5 Customer Segmentation,Dmitry,Personal Project,PP,,,,10,A1.2 Git / GitHub,Nathan,A1.2 Git / GitHub,Mustafa,  05/25,,,,,,  05/25,,,
Tue.,  05/26,,FALSE,39,B1.5 Customer Segmentation,Dmitry,B1.4.10-11 Timeseries,Mustafa,9,A1.4.2 Maths for AI - Probabilities,Fanbo,11,A1.7 Algorithmic & Complexity,Nathan,A1.8 SQL,Sami,  05/26,,,,,,  05/26,,,
Wed.,  05/27,,FALSE,40,B1.5 Customer Segmentation,Dmitry,B1.4.10-11 Timeseries,Mustafa,10,A1.4.3 Maths for AI - Stats & Tests,Fanbo,12,A1.7 Algorithmic & Complexity,Nathan,A1.8 SQL,Sami,  05/27,,,,,,  05/27,,,
Thu.,  05/28,,FALSE,41,B2.1 Image Processing,Dmitry,Personal Project,PP,11,A1.4.3 Maths for AI - Stats & Tests,Fanbo,13,A1.7 Algorithmic & Complexity,Nathan,A1.7 Algorithmic & Complexity,Mustafa,  05/28,,,,,,  05/28,,,
Fri.,  05/29,,FALSE,42,A2.2 AWS,Quang,A2.2 AWS,Quang,,,,14,A1.7 Algorithmic & Complexity,Nathan,A1.7 Algorithmic & Complexity,Mustafa,  05/29,,,,,,  05/29,,,
Sat.,  05/30,,FALSE,,,,,,12,A1.5 R,Mustafa,,,,,,  05/30,,,,,,  05/30,,,
Mon.,  06/01,x,FALSE,43,B2.1 Image Processing,Dmitry,Personal Project,PP,,,,15,Personal Project,Mustafa,A2.3 ML APIs,Sami,  06/01,,,,,,  06/01,,,
Tue.,  06/02,,FALSE,44,B2.1 Image Processing,Dmitry,B2.2 Face Detection / RNN,Mustafa,13,"A1.4.4,5 Statistics in Python",Fanbo,16,A1.9 SAS,Nathan,A2.3 ML APIs,Sami,  06/02,,,,,,  06/02,,,
Wed.,  06/03,,FALSE,45,B2.3 Natural Language Processing,Dmitry,B2.2 Face Detection,Mustafa,14,"A1.4.4,5 Statistics in Python",Fanbo,17,A1.9 SAS,Nathan,B1.1.1-4 ML & Regressions,Sami,  06/03,,,,,,  06/03,,,
Thu.,  06/04,,FALSE,46,B2.3 Natural Language Processing,Dmitry,B2.2 Face Detection,Mustafa,15,B1.1.1-4 ML & Regressions,Fanbo,18,A1.9 SAS,Nathan,B1.1.1-4 ML & Regressions,Sami,  06/04,,,,,,  06/04,,,
Fri.,  06/05,,FALSE,47,A2.2 AWS,Quang,A2.2 AWS,Quang,,,,19,A1.9 SAS,Nathan,B1.1.1-4 ML & Regressions,Sami,  06/05,,,,,,  06/05,,,
Sat.,  06/06,,FALSE,,,,,,16,A1.6 Data Engineering with R,Mustafa,,,,,,  06/06,,,,,,  06/06,,,
Mon.,  06/08,,FALSE,48,B2.3 Natural Language Processing,Dmitry,B2.4 Speech representation & recognition,Mustafa,,,,20,B1.1.5-6 ML - Supervised - NN & Cie,Nathan,B1.1.7-8 ML decision trees,Sami,  06/08,,,,,,  06/08,,,
Tue.,  06/09,,FALSE,49,"D1 Interview questions, ML",Dmitry,B2.4 Speech representation & recognition,Mustafa,17,B1.1.1-4 ML & Regressions,Fanbo,21,B1.1.5-6 ML - Supervised - NN & Cie,Nathan,B1.1.7-8 ML decision trees,Sami,  06/09,,,,,,  06/09,,,
Wed.,  06/10,,FALSE,50,A2.2 AWS,Quang,B2.4 Speech representation & recognition,Mustafa,18,B1.1.1-4 ML & Regressions,Fanbo,22,B1.1.5-6 ML - Supervised - NN & Cie,Nathan,Personal Project,PP,  06/10,,,,,,  06/10,,,
Thu.,  06/11,,FALSE,51,B2.6 Computer Vision for Autonomous Cars,Nathan,A2.2 AWS,Quang,19,A2.3 ML APIs,Fanbo,23,B1.1.9-11 ML Unsupervised Learning,Dmitry,A2.1 Big Data archi & Hadoop,Mustafa,  06/11,,,,,,  06/11,,,
Fri.,  06/12,,FALSE,52,B2.6 Computer Vision for Autonomous Cars,Nathan,Personal Project,PP,,,,24,B1.1.9-11 ML Unsupervised Learning,Dmitry,A2.1 Big Data archi & Hadoop,Mustafa,  06/12,,,,,,  06/12,,,
Sat.,  06/13,,FALSE,,,,,,20,A2.3 ML APIs/B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,,,,,,  06/13,,,,,,  06/13,,,
Mon.,  06/15,,FALSE,53,"D1 Interview questions, ML",Dmitry,"D0 Interview preparation, HR",Jad,,,,25,B1.2 ML Workshop,Nathan,A2.1 Big Data archi & Hadoop,Mustafa,  06/15,,,,,,  06/15,,,
Tue.,  06/16,,FALSE,54,"D2 Interview questions, ML / algorithms",Dmitry,"D0 Interview preparation, HR",Jad,21,B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,26,B1.2 ML Workshop,Nathan,A2.1 Big Data archi & Hadoop,Mustafa,  06/16,,,,,,  06/16,,,
Wed.,  06/17,,FALSE,55,Personal project,PP,Personal project,PP,22,B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,27,B1.3.1-3 Tensorflow Intro,Mustafa,B1.3.1-3 Tensorflow Intro,Mustafa,  06/17,,,,,,  06/17,,,
Thu.,  06/18,,FALSE,56,"D2 Interview questions, algorithms",Dmitry,Personal project,PP,23,B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,28,B1.3.1-3 Tensorflow Intro,Mustafa,Personal Project,PP,  06/18,,,,,,  06/18,,,
Fri.,  06/19,,FALSE,57,"D2 Interview questions, algorithms",Dmitry,B2.5 Chatbot for medical diagnosis,Mustafa,,,,29,B1.4.1-2 Deep Learning - ANN,Nathan,B1.4.1-2 Deep Learning - ANN,Sami,  06/19,,,,,,  06/19,,,
Sat.,  06/20,,FALSE,,,,,,24,B1.1.7-8 ML decision trees,Sami,,,,,,  06/20,,,,,,  06/20,,,
Mon.,  06/22,,FALSE,58,B2.5 Chatbot for medical diagnosis,Mustafa,B1.7 RL & AI in videogames,Mustafa,,,,30,B1.4.3-4 Deep Learning - CNN,Nathan,B1.4.3-4 Deep Learning - CNN,Sami,  06/22,,,,,,  06/22,,,
Tue.,  06/23,,FALSE,59,B1.7 RL & AI in videogames,Mustafa,Personal project,PP,25,A1.7 Algorithmic & Complexity(1/2),Fanbo,31,B1.4.5-6 Deep Learning - RNN,Sami,B1.4.5-6 Deep Learning - RNN,Sami,  06/23,,,,,,  06/23,,,
Wed.,  06/24,,FALSE,60,Team Project Presentation,Dmitry,Team Project Presentation,Dmitry,26,A1.7 Algorithmic & Complexity(1/2),Fanbo,32,B1.5 Customer Segmentation,Nathan,Personal Project,PP,  06/24,,,,,,  06/24,,,
